uri,label
minksowdn,1
eujspoc,1
emgxhifkfj,1
zuumjolibgk,1
xixfifdqzreo,1
rmtgnyzif,1
difvpnbmsv,1
rpdoxjbblnnm,1
iuwpxohpfam,1
xqotmlxchiz,1
ktbzvmpky,1
mwyuoyifsibj,1
fokjzgzoqsbm,1
hbpwqxfazhj,1
bvadoyckhbhd,1
eaqcdcbaq,1
jbocfd,1
ycogtelopkg,1
llejdzpy,1
gmkysyga,1
ccpvipua,1
qegoqyym,1
dujmnshwtccb,1
uwxkngtmgyv,1
gamsvop,1
auiaiwwuyeau,1
bqkugmbognet,1
diwmsyyjaovp,1
fudktddwl,1
zrazubrqgq,1
jgvqvsduysr,1
xmpadbu,1
jcgbcp,1
jydvuyupusbl,1
zizwjrnvi,1
sejkgzxyq,1
rtvxrlpwvzhi,1
zwleccmkkaeg,1
lmfnepbahki,1
zqjiuvdatrr,1
kklakuzaeyp,1
gxkojomij,1
pqdjiwrm,1
vpyfdozqzkm,1
osdcsqp,1
mktgjwj,1
musygcwyqa,1
pvdkzbvontf,1
rwxmnzfuv,1
natzqwyjyap,1
imouwyucqc,1
gzfweyhkj,1
zpgktfpnp,1
actonkikj,1
ouzupz,1
emyrpvr,1
gxubbsqa,1
rriwoqtwntkb,1
uatunqgyfpl,1
jslvro,1
lnzrjcayrj,1
jtpkjl,1
dxamnqnbz,1
iwtrlplh,1
cwuoyyyo,1
ztzekbvbzp,1
oipavsc,1
xhdtlt,1
nivfrndcryl,1
ggisus,1
sksmysgiuquo,1
easuou,1
bxxqgdx,1
cyozkwlr,1
umdtwet,1
dsccdhpbpkp,1
aydspyxhu,1
pwrroz,1
qogqpmoksyt,1
mwbklzeifgk,1
imavus,1
kcmimssm,1
npeggfkw,1
cilrpwjz,1
xdrapcoguk,1
vczbajlj,1
utbofqucy,1
rtlnmfjqenrd,1
mwbweckozkd,1
cxhzyab,1
mccugmow,1
yfmmlpspmghs,1
vfbvugw,1
kakwoe,1
bddsqtiwvriz,1
ewjmxuicn,1
poxkzaqskmp,1
aelxpfe,1
yyukyowi,1
xsriaetmjrf,1
goegbee,1
afmomjbccsd,1
aefkxdeyj,1
uiwawsomqq,1
dlrkaw,1
njleswymg,1
mmwyma,1
chtuxitzxuef,1
kovpdr,1
zflilftl,1
qekyykyw,1
dcbxjvbk,1
egrpjh,1
bodiywt,1
nczlqykka,1
guzjvj,1
egzzubrqgq,1
iekikmcekyam,1
lbtqnkhexur,1
kaukkgkk,1
kkmbcqvkryh,1
fdqltucubkf,1
cswuowasmasy,1
bfiouulo,1
imhuxcdon,1
jootjrkh,1
cergburhzcd,1
xvrlrreormd,1
jafdvhorxr,1
ceuynqnht,1
zjtaji,1
lxazvtmgjwrd,1
wwsmdj,1
aaqqswqu,1
jafxhr,1
gyukcmkkew,1
frzopf,1
eczytpbimix,1
tuqzwldckjvv,1
rwqkfcj,1
dgxufmlgpue,1
smtuxvlqr,1
nepvfpjwc,1
norprfdmz,1
fdjcbamuz,1
wvqajmjchq,1
dwsmyoacamanqggmd,1
mmpskygxbgajncix,1
fgunpsrk,1
olwjslmkkyq,1
wbedckwskjivfwtm,1
huqxwet,1
xeejftcifriiql,1
njcoherhgr,1
ernnwncitjteuv,1
yqgrqbjuvqig,1
aqvlxbqmntacvqbuk,1
mggatprdyblajn,1
pxuxrbhctyruf,1
cphsbkfcstghrw,1
qeqgawveuvu,1
ddwkqhviikvuitisr,1
yphusuixqr,1
vqtdhshoyj,1
tibjjjyqnqrrnmu,1
puduklunijdonn,1
cjckoemkq,1
djosaukxpiohtve,1
ugysyfpnhefdtk,1
rmrixyq,1
bamitale21fbf70c8e03cdfaa3104019b271a66,1
bamitale419a05b6937943e39ea0c9ddd67b5b2,1
bamital35e8c9b40d42349d2061034c8384fcf1,1
bamital4133f1a35a4ab0ed40c85680d8f45691,1
bamital0d3bfd877fbb7f8fa2e594cd50cbd4f3,1
bamitale9a430383610ef6e96460bb29d01d52f,1
bamital0d3bfd877fbb7f8fa2e594cd50cbd4f3,1
bamitalbf057e61f0b2f4d2974630debd0d17dc,1
bamital37d41999dde05de17651800b4d526305,1
bamitalca97a54755708855a75ae382d5723273,1
bamital7bf391a2b83a4777da14c774b2a6678d,1
bamitale9a430383610ef6e96460bb29d01d52f,1
bamitaleaf2e8f4f54c92cfcedbf0586c29d1a1,1
bamital15fa4ac735709c4b46713d07c7ad8b4f,1
bamitalc2b109066e73579aaddf2424b86ee299,1
bamitale21fbf70c8e03cdfaa3104019b271a66,1
bamitale419a05b6937943e39ea0c9ddd67b5b2,1
bamital18bfb5c0ffa92e81eff091c9af885779,1
bamital55f698badce620e6849e546ee4fc411a,1
bamital35e8c9b40d42349d2061034c8384fcf1,1
bamital55f698badce620e6849e546ee4fc411a,1
bamitaleaf2e8f4f54c92cfcedbf0586c29d1a1,1
bamital18bfb5c0ffa92e81eff091c9af885779,1
bamital4133f1a35a4ab0ed40c85680d8f45691,1
bamital9eacac2f797c2472298c638628fc128e,1
bamitalfb2ae945ea0aa1fa19b6931590f4d8ba,1
bamital88cdd83360824b9b7173fd30815c9d2a,1
bamital723325242b24fe4fb2221250e156b6ea,1
bamitalfb2ae945ea0aa1fa19b6931590f4d8ba,1
bamital8ef05ff2f9993fe682a7ffa6c717b948,1
bamital20ee0139325513d070576cdb1ec7d953,1
bamital723325242b24fe4fb2221250e156b6ea,1
bamitalc2b109066e73579aaddf2424b86ee299,1
bamital40b8957e4eb3d772f812d80dd30cc138,1
bamital4133f1a35a4ab0ed40c85680d8f45691,1
bamital55f698badce620e6849e546ee4fc411a,1
bamital7bf391a2b83a4777da14c774b2a6678d,1
bamital0eafc972a160226e0f02fea5589b0910,1
bamital7bf391a2b83a4777da14c774b2a6678d,1
bamital55f698badce620e6849e546ee4fc411a,1
bamital37d41999dde05de17651800b4d526305,1
bamital9eacac2f797c2472298c638628fc128e,1
bamitala008aac9833b5d94f9a83cbb2f499aa9,1
bamitalfb2ae945ea0aa1fa19b6931590f4d8ba,1
bamitale9a430383610ef6e96460bb29d01d52f,1
bamital18bfb5c0ffa92e81eff091c9af885779,1
bamital40b8957e4eb3d772f812d80dd30cc138,1
bamital35e8c9b40d42349d2061034c8384fcf1,1
bamitale419a05b6937943e39ea0c9ddd67b5b2,1
bamital5da2c2949837cc006d7141eb0924f5bf,1
bamitaleaf2e8f4f54c92cfcedbf0586c29d1a1,1
bamital20ee0139325513d070576cdb1ec7d953,1
bamitalfb2ae945ea0aa1fa19b6931590f4d8ba,1
bamitalbf057e61f0b2f4d2974630debd0d17dc,1
bamital5da2c2949837cc006d7141eb0924f5bf,1
bamital8ef05ff2f9993fe682a7ffa6c717b948,1
bamitalc2b109066e73579aaddf2424b86ee299,1
bamital0eafc972a160226e0f02fea5589b0910,1
bamitalbf057e61f0b2f4d2974630debd0d17dc,1
bamital0d3bfd877fbb7f8fa2e594cd50cbd4f3,1
bamital7bf391a2b83a4777da14c774b2a6678d,1
bamitale21fbf70c8e03cdfaa3104019b271a66,1
bamital35e8c9b40d42349d2061034c8384fcf1,1
bamitalb608f35f6a71c223b7b9370f01b8bf24,1
bamitalca97a54755708855a75ae382d5723273,1
bamitalca97a54755708855a75ae382d5723273,1
bamital723325242b24fe4fb2221250e156b6ea,1
bamitale21fbf70c8e03cdfaa3104019b271a66,1
bamitale9a430383610ef6e96460bb29d01d52f,1
bamitalb608f35f6a71c223b7b9370f01b8bf24,1
bamital9eacac2f797c2472298c638628fc128e,1
bamital37d41999dde05de17651800b4d526305,1
bamitala008aac9833b5d94f9a83cbb2f499aa9,1
bamital5da2c2949837cc006d7141eb0924f5bf,1
bamital15fa4ac735709c4b46713d07c7ad8b4f,1
bamital88cdd83360824b9b7173fd30815c9d2a,1
bamital9eacac2f797c2472298c638628fc128e,1
bamital8ef05ff2f9993fe682a7ffa6c717b948,1
bamitalbf057e61f0b2f4d2974630debd0d17dc,1
bamitale419a05b6937943e39ea0c9ddd67b5b2,1
bamital4133f1a35a4ab0ed40c85680d8f45691,1
bamital40b8957e4eb3d772f812d80dd30cc138,1
bamital723325242b24fe4fb2221250e156b6ea,1
bamitalc2b109066e73579aaddf2424b86ee299,1
bamitalca97a54755708855a75ae382d5723273,1
bamital0eafc972a160226e0f02fea5589b0910,1
bamitalb608f35f6a71c223b7b9370f01b8bf24,1
bamital0eafc972a160226e0f02fea5589b0910,1
bamital15fa4ac735709c4b46713d07c7ad8b4f,1
bamitalb608f35f6a71c223b7b9370f01b8bf24,1
bamital88cdd83360824b9b7173fd30815c9d2a,1
bamitala008aac9833b5d94f9a83cbb2f499aa9,1
bamital0d3bfd877fbb7f8fa2e594cd50cbd4f3,1
bamital88cdd83360824b9b7173fd30815c9d2a,1
bamital37d41999dde05de17651800b4d526305,1
bamital20ee0139325513d070576cdb1ec7d953,1
bamital15fa4ac735709c4b46713d07c7ad8b4f,1
bamital5da2c2949837cc006d7141eb0924f5bf,1
bamital40b8957e4eb3d772f812d80dd30cc138,1
bamitala008aac9833b5d94f9a83cbb2f499aa9,1
bamital8ef05ff2f9993fe682a7ffa6c717b948,1
bamital20ee0139325513d070576cdb1ec7d953,1
bamital18bfb5c0ffa92e81eff091c9af885779,1
bamitaleaf2e8f4f54c92cfcedbf0586c29d1a1,1
